LD1, LD2,class
1.614305,1.983991,0.0
4.286327,2.080077,0.0
3.755564,1.769863,0.0
2.350295,2.660338,0.0
2.692713,2.14752,0.0
4.78108,1.925614,0.0
0.8501,1.399637,0.0
2.380229,1.860321,0.0
4.422486,1.871283,0.0
2.217421,1.467921,0.0
2.866157,2.093044,0.0
2.292826,1.336261,0.0
1.77796,1.400664,0.0
2.26789,1.473359,0.0
1.440829,2.193759,0.0
2.915298,1.701986,0.0
2.754078,1.988288,0.0
1.870355,2.0865,0.0
3.006124,2.979274,0.0
1.881984,1.386618,0.0
2.167136,2.28481,0.0
2.934887,1.169756,0.0
2.459534,1.883984,0.0
2.317353,2.164483,0.0
2.275519,1.907822,0.0
3.286479,1.012251,0.0
2.400517,1.560586,0.0
2.770036,1.066407,0.0
2.857761,2.027494,0.0
2.0705,2.050584,0.0
1.623395,1.058915,0.0
2.131129,2.862839,0.0
2.118748,1.366482,0.0
1.222248,1.455924,0.0
1.879973,2.157702,0.0
1.608262,2.491663,0.0
0.980824,1.976885,0.0
1.107867,1.561223,0.0
1.202961,2.463768,0.0
1.376509,1.625911,0.0
1.267017,1.802406,0.0
1.05411,2.359672,0.0
-0.046221,1.473148,0.0
0.698904,2.14077,0.0
0.746342,1.535501,0.0
2.325188,1.650089,0.0
1.306025,2.215589,0.0
3.506876,2.127079,0.0
2.676294,1.382805,0.0
1.939495,1.173965,0.0
1.878617,2.046314,0.0
1.923917,1.2438,0.0
2.24301,0.813822,0.0
1.794615,1.329768,0.0
2.549,1.064934,0.0
2.897065,1.130491,0.0
2.392249,1.490972,0.0
3.125653,0.970454,0.0
3.118761,0.972706,0.0
2.469439,1.453599,0.0
2.936178,1.354822,0.0
3.662778,1.391164,0.0
3.260713,2.132591,0.0
3.02657,2.288958,0.0
4.009151,3.116492,0.0
3.193059,3.222367,0.0
4.421042,2.992885,0.0
3.585856,2.912807,0.0
4.882897,3.551957,0.0
3.974393,2.859809,0.0
3.29002,3.039217,0.0
3.05561,2.514684,0.0
4.234337,3.892328,0.0
3.103251,3.123166,0.0
2.36817,3.298008,0.0
2.666838,3.116454,0.0
2.504489,2.723156,0.0
3.04868,1.657953,0.0
2.275191,2.796086,0.0
3.413897,3.6245,0.0
2.066438,2.980215,0.0
3.27125,4.542296,0.0
2.794897,3.196847,0.0
3.201728,2.106627,0.0
3.243868,3.202133,0.0
3.382829,2.523438,0.0
3.110513,3.343425,0.0
4.28002,2.995275,0.0
1.457227,2.636823,0.0
3.093394,2.651231,0.0
4.064617,3.508114,0.0
4.16157,3.677858,0.0
2.870311,3.496167,0.0
4.305357,4.233518,0.0
3.215894,3.222087,0.0
3.792901,3.682937,0.0
4.594896,3.276412,0.0
4.150017,4.300434,0.0
4.54062,3.740113,0.0
5.368073,2.267038,0.0
4.948673,1.740605,0.0
3.612195,2.539331,0.0
3.185282,3.740634,0.0
3.553634,3.106005,0.0
4.611236,3.450832,0.0
4.40267,4.082504,0.0
5.354275,3.613414,0.0
4.238252,3.394002,0.0
4.564058,3.248693,0.0
4.32145,2.681863,0.0
4.821123,3.842445,0.0
5.347128,5.283772,0.0
3.20199,4.133329,0.0
2.885828,3.247644,0.0
3.327988,3.6383,0.0
3.874351,3.201158,0.0
4.153644,2.427627,0.0
4.412735,3.267969,0.0
4.649824,3.884681,0.0
4.643368,2.529365,0.0
4.235728,4.109481,0.0
3.744642,3.976745,0.0
4.274921,4.059387,0.0
4.459304,3.228801,0.0
4.750358,3.754754,0.0
4.134447,2.478544,0.0
3.802929,3.3662,0.0
4.443411,1.521675,0.0
4.252418,0.936706,0.0
3.722593,1.276892,0.0
4.71142,1.362595,0.0
6.765356,2.300534,0.0
5.514558,0.288048,0.0
4.780353,1.163713,0.0
4.463049,0.272848,0.0
3.015549,0.936234,0.0
3.360494,0.093867,0.0
4.379144,1.472102,0.0
4.290629,0.415562,0.0
4.180708,1.456696,0.0
4.020025,2.032792,0.0
4.30482,0.782012,0.0
3.539848,0.811606,0.0
5.035616,1.343646,0.0
5.071405,1.170475,0.0
3.296985,1.004426,0.0
4.835096,1.282399,0.0
3.59402,1.423596,0.0
3.781029,0.98131,0.0
3.91957,1.206996,0.0
3.565448,0.630054,0.0
4.317364,0.936791,0.0
2.422254,0.152914,0.0
3.106774,-0.605449,0.0
4.033134,0.51662,0.0
4.120075,-0.224021,0.0
4.54223,0.283192,0.0
4.753636,-0.009781,0.0
5.118405,-0.287561,0.0
4.353417,0.580889,0.0
4.810214,-0.013818,0.0
4.257032,1.302097,0.0
5.402237,1.061136,0.0
3.845678,0.882606,0.0
5.385311,-0.365754,0.0
6.13616,0.022848,0.0
4.852182,-0.142626,0.0
3.888335,-0.295117,0.0
5.474424,0.490917,0.0
5.455644,0.364114,0.0
4.349623,0.993069,0.0
5.016854,0.250401,0.0
5.529478,0.182568,0.0
5.039453,0.732733,0.0
4.523285,0.774316,0.0
3.693433,0.690001,0.0
4.597821,-0.034381,0.0
4.348137,-0.241489,0.0
4.579423,0.504677,0.0
4.052794,0.35996,0.0
3.788063,1.149748,0.0
3.402015,0.069781,0.0
3.986653,-0.66979,0.0
3.608081,-0.13529,0.0
2.824391,0.553424,0.0
3.040557,-0.333939,0.0
4.377508,-0.711088,0.0
4.73126,-1.327453,0.0
2.474945,1.517035,0.0
1.77353,2.474735,0.0
2.882061,1.587113,0.0
3.586369,1.425018,0.0
2.564899,1.973104,0.0
3.334688,3.845788,0.0
3.237909,2.581842,0.0
2.606821,2.209316,0.0
3.017561,3.486323,0.0
3.168535,3.435866,0.0
3.268655,3.715169,0.0
3.080915,3.72475,0.0
2.918655,3.86931,0.0
4.530607,2.954212,0.0
3.660868,3.537867,0.0
3.693682,3.081467,0.0
3.974605,3.027352,0.0
5.495848,2.095952,0.0
4.493824,2.580684,0.0
2.608685,1.828798,0.0
3.875333,3.238234,0.0
3.342213,2.43948,0.0
3.097402,1.914453,0.0
2.680802,1.258503,0.0
2.055037,0.511018,0.0
3.289194,1.099054,0.0
2.108342,0.8909,0.0
2.642516,1.723407,0.0
2.465482,1.332544,0.0
2.242699,3.87024,0.0
0.998915,2.595443,0.0
1.169735,3.151301,0.0
1.181641,3.566481,0.0
0.466961,3.266728,0.0
0.717874,3.573756,0.0
0.498719,3.347847,0.0
0.024258,2.958119,0.0
0.363249,3.450002,0.0
0.623981,3.419415,0.0
0.060623,3.205531,0.0
1.023295,3.17282,0.0
-0.144287,3.444227,0.0
0.212128,2.85823,0.0
0.846355,3.381061,0.0
0.871732,3.335852,0.0
0.997862,3.547608,0.0
0.977068,2.766256,0.0
