LD1, LD2,class
0.73656,1.63462,0.0
-1.53375,2.62906,0.0
-1.50282,1.55983,0.0
-0.90032,3.0733,0.0
-0.32129,2.66906,0.0
-1.60174,3.66029,0.0
1.18049,1.31409,0.0
-0.73859,1.14591,0.0
-2.37322,2.05097,0.0
-0.84543,0.92337,0.0
-0.51668,1.28357,0.0
-0.34867,0.3121,0.0
-0.51827,1.01994,0.0
-1.12117,1.22235,0.0
-0.46269,0.94094,0.0
-1.21855,0.4139,0.0
-1.19417,1.49395,0.0
-0.16114,1.25439,0.0
-1.27972,2.04302,0.0
-0.40828,0.44768,0.0
-0.2561,0.90521,0.0
-0.98326,0.33436,0.0
-0.42605,1.09959,0.0
-0.24412,0.97907,0.0
-0.92762,1.20436,0.0
-1.28896,0.87772,0.0
-0.56391,0.48891,0.0
-0.94554,0.36952,0.0
-1.44973,1.96939,0.0
-1.14261,1.59748,0.0
-1.00207,0.49635,0.0
-1.62775,1.63063,0.0
-0.47247,-0.00458,0.0
0.01432,0.04987,0.0
-1.1068,1.17007,0.0
-0.19558,1.21022,0.0
-0.28418,0.8286,0.0
-0.57475,0.52599,0.0
-0.90865,1.06712,0.0
-0.12042,0.00944,0.0
-0.58439,0.51109,0.0
-0.06519,1.4368,0.0
0.54774,0.34156,0.0
-0.03916,0.64847,0.0
-0.24241,0.45671,0.0
-1.45337,0.70943,0.0
-0.87657,0.66948,0.0
-1.73847,1.53863,0.0
-0.48441,0.53039,0.0
-1.07187,0.5914,0.0
-0.63721,0.58925,0.0
0.01902,0.68721,0.0
0.03366,-0.09625,0.0
-0.08772,0.07702,0.0
-0.06457,-0.45874,0.0
-0.67423,0.03715,0.0
-0.12405,0.19543,0.0
-0.9016,0.07627,0.0
-0.84422,0.26464,0.0
-0.72823,0.58576,0.0
-1.00605,1.11822,0.0
-1.27171,0.8912,0.0
-0.64981,2.51057,0.0
-1.19852,3.21011,0.0
-1.3869,4.16407,0.0
-1.24844,4.49376,0.0
-1.67055,4.0555,0.0
-1.0647,3.55409,0.0
-1.52844,4.53889,0.0
-2.29908,2.74543,0.0
-1.19576,3.62934,0.0
-1.37223,3.74293,0.0
-1.26793,4.64474,0.0
-0.94308,3.49921,0.0
-1.02393,3.57601,0.0
-1.34098,4.43958,0.0
-0.66088,3.50611,0.0
-1.37468,2.98682,0.0
-0.11063,3.30607,0.0
-0.93965,4.97416,0.0
-0.54288,4.21506,0.0
-0.95224,5.98459,0.0
-0.91977,4.30327,0.0
-1.84911,4.05986,0.0
-1.16126,3.76238,0.0
-1.08496,3.87563,0.0
-0.81254,4.69933,0.0
-1.95775,4.49161,0.0
-0.43726,3.99665,0.0
-1.39561,4.48691,0.0
-1.96901,4.83751,0.0
-2.7351,4.99327,0.0
-0.87323,4.29254,0.0
-2.04533,5.76453,0.0
-1.82258,3.98473,0.0
-1.20883,3.75525,0.0
-2.3889,4.58884,0.0
-2.02667,5.35026,0.0
