LD1, LD2,class
-0.3687,1.68428,0.0
-2.76796,2.74104,0.0
-2.50678,1.64992,0.0
-1.22926,3.12951,0.0
-1.00743,2.92114,0.0
-2.72779,3.92354,0.0
0.65516,1.62353,0.0
-1.54742,1.2449,0.0
-3.26414,2.1868,0.0
-1.40661,1.01026,0.0
-1.59255,1.44063,0.0
-1.13557,0.4907,0.0
-0.98103,1.06829,0.0
-1.70436,1.25242,0.0
-0.85762,1.01446,0.0
-1.99699,0.50485,0.0
-1.81396,1.5788,0.0
-0.65565,1.39886,0.0
-1.99008,2.02584,0.0
-0.9757,0.56709,0.0
-1.18092,0.97206,0.0
-1.76376,0.54696,0.0
-1.26861,1.21168,0.0
-1.10246,1.09884,0.0
-1.44375,1.29089,0.0
-2.22733,1.04787,0.0
-1.30137,0.67293,0.0
-1.7055,0.55897,0.0
-1.98764,2.09145,0.0
-1.5418,1.61224,0.0
-1.05273,0.62171,0.0
-1.87139,1.55001,0.0
-1.0009,0.23682,0.0
-0.32238,0.18721,0.0
-1.35112,1.17238,0.0
-0.53093,1.35408,0.0
-0.4013,0.86755,0.0
-0.69108,0.53108,0.0
-0.76635,1.11437,0.0
-0.57015,0.14696,0.0
-0.82069,0.51123,0.0
-0.3731,1.48418,0.0
0.44657,0.36826,0.0
-0.26908,0.64838,0.0
-0.15897,0.60566,0.0
-1.64969,0.78705,0.0
-0.96267,0.71496,0.0
-2.37505,1.615,0.0
-1.34821,0.77914,0.0
-1.02509,0.79978,0.0
-1.14784,0.67696,0.0
-0.57001,0.94653,0.0
-0.74373,0.17515,0.0
-0.72362,0.29701,0.0
-1.11356,-0.16621,0.0
-1.55932,0.29824,0.0
-1.08174,0.46338,0.0
-1.78055,0.34876,0.0
-1.75094,0.52788,0.0
-1.32085,0.81273,0.0
-1.53058,1.39676,0.0
-2.24085,1.13384,0.0
-1.75824,2.62772,0.0
-1.91805,3.29869,0.0
-2.27268,4.23367,0.0
-1.89504,4.55336,0.0
-2.76801,4.15433,0.0
-2.20312,3.63556,0.0
-2.93992,4.65074,0.0
-3.23471,2.66405,0.0
-2.07054,3.66018,0.0
-1.89378,3.8003,0.0
-2.39893,4.70828,0.0
-1.88268,3.52341,0.0
-1.62696,3.46892,0.0
-1.73276,4.4051,0.0
-1.34417,3.50376,0.0
-1.78777,3.11315,0.0
-0.91397,3.34121,0.0
-1.72023,5.04679,0.0
-0.67134,4.33206,0.0
-1.63661,6.00636,0.0
-1.47555,4.38931,0.0
-1.93861,4.17734,0.0
-1.82073,3.84766,0.0
-1.78057,4.02829,0.0
-1.57004,4.73354,0.0
-2.90791,4.5804,0.0
-0.40226,4.09169,0.0
-1.91189,4.49765,0.0
-2.87307,4.78339,0.0
-3.28358,4.8429,0.0
-1.86295,4.15492,0.0
-3.09479,5.61019,0.0
-2.39892,3.87616,0.0
-2.52637,3.64882,0.0
-3.55692,4.47117,0.0
-3.23469,5.1924,0.0
-2.90394,4.42842,0.0
-5.06523,2.33634,0.0
-4.84662,1.58136,0.0
-2.77007,3.79283,0.0
-2.6052,4.7256,0.0
-2.80606,3.546,0.0
-3.70539,4.24943,0.0
-3.61073,4.93211,0.0
-4.49259,3.88471,0.0
-3.4922,4.73685,0.0
-4.6392,3.62943,0.0
-4.65433,3.10487,0.0
-4.28967,4.7473,0.0
-4.01988,7.54092,0.0
-1.93288,5.77773,0.0
-2.18782,4.60599,0.0
-2.42188,5.18747,0.0
-3.77124,3.81762,0.0
-3.80255,4.03171,0.0
-3.8981,4.29182,0.0
-4.38821,5.13736,0.0
-4.43893,3.77149,0.0
-3.32108,5.62069,0.0
-3.24971,5.43498,0.0
-3.42743,5.6051,0.0
-3.74836,4.04711,0.0
-4.07703,4.59097,0.0
-2.2056,3.59693,0.0
-2.50014,3.66891,0.0
-4.37287,0.42423,0.0
-4.74037,-0.01915,0.0
-4.28911,-0.14079,0.0
-5.26075,-0.03502,0.0
-6.64302,1.3978,0.0
-5.82719,-0.1098,0.0
-5.3693,-0.28207,0.0
-4.66437,-0.62037,0.0
-3.55674,-0.72176,0.0
-4.10054,-0.75401,0.0
-4.78474,0.35408,0.0
-5.07997,0.08538,0.0
-4.96488,0.52245,0.0
-4.37171,0.84385,0.0
-4.51281,-0.34346,0.0
-4.17367,-0.75309,0.0
-5.10174,0.83158,0.0
-5.0421,-0.17374,0.0
-4.09451,-0.4938,0.0
-5.6133,0.76479,0.0
-4.66601,0.16036,0.0
-4.83208,0.23174,0.0
-4.38898,0.00995,0.0
-4.40474,-0.05669,0.0
-4.78182,-0.31092,0.0
-3.63344,-0.9762,0.0
-3.95332,-1.12584,0.0
-5.0126,-0.64539,0.0
-4.75249,-0.76322,0.0
-5.50584,-0.53773,0.0
-5.57923,0.34037,0.0
-5.98238,-0.15856,0.0
-4.57004,-0.19476,0.0
-5.20383,-0.46487,0.0
-4.68545,0.15909,0.0
-5.67816,-0.03971,0.0
-4.26463,-0.44211,0.0
-5.41607,-0.65679,0.0
-6.00386,0.33495,0.0
-5.05705,-0.32427,0.0
-4.44159,-1.33147,0.0
-5.59972,-0.7994,0.0
-5.78942,-0.26814,0.0
-4.91108,-0.42096,0.0
-5.13828,-0.82143,0.0
-5.67994,-1.09607,0.0
-5.70111,0.08952,0.0
-4.83747,0.35195,0.0
-3.90064,-0.09904,0.0
-4.78842,-0.65262,0.0
-5.38749,-0.73015,0.0
-4.80878,0.28893,0.0
-4.44914,-0.20689,0.0
-4.1606,0.46872,0.0
-3.92938,-0.54603,0.0
-4.65574,-1.23501,0.0
-4.52691,-0.43033,0.0
-3.63128,0.09065,0.0
-4.14681,-1.70476,0.0
-5.22008,-0.41702,0.0
-5.12639,-1.26376,0.0
-0.77771,1.96189,0.0
-0.51487,2.59746,0.0
-2.25539,1.36937,0.0
-2.71581,1.61794,0.0
-1.10515,3.21288,0.0
-2.6201,4.72212,0.0
-2.33475,3.75472,0.0
-2.05827,3.00474,0.0
-1.91313,4.63213,0.0
-2.20171,3.89365,0.0
-2.1291,4.6408,0.0
-2.35444,4.41967,0.0
-2.43117,4.58072,0.0
-3.7236,4.20597,0.0
-2.75205,5.28628,0.0
-2.53717,5.08657,0.0
-3.85229,4.31536,0.0
-5.35945,2.61604,0.0
-4.35064,2.64403,0.0
-2.94832,1.63825,0.0
-3.17151,4.67061,0.0
-3.51975,2.03017,0.0
-3.13751,1.50132,0.0
-3.04089,0.56922,0.0
-2.32345,0.14722,0.0
-3.17693,0.17859,0.0
-2.41345,0.07851,0.0
-2.89813,0.68622,0.0
-2.5613,0.80732,0.0
-1.5508,3.63018,0.0
-0.19344,2.11212,0.0
-0.6382,3.40063,0.0
-0.58865,4.14068,0.0
0.65969,3.56052,0.0
0.16172,3.72019,0.0
0.0533,3.27294,0.0
0.7252,3.20725,0.0
0.14887,3.27224,0.0
0.13284,3.36931,0.0
0.67111,3.13902,0.0
0.00235,3.3146,0.0
0.95388,3.07273,0.0
0.58212,2.73694,0.0
0.08792,3.53404,0.0
0.12555,3.26257,0.0
0.59861,3.368,0.0
0.39403,3.22516,0.0
-0.27627,3.24024,0.0
0.25056,3.1267,0.0
0.21274,2.90768,0.0
0.1764,2.94389,0.0
1.0493,2.76051,0.0
0.85913,3.1267,0.0
