LD1, LD2,class
1.096929,2.303715,0.0
3.750907,2.496818,0.0
3.458123,2.009225,0.0
2.261386,2.98132,0.0
2.487594,2.436215,0.0
4.304288,2.493426,0.0
0.758447,1.487005,0.0
2.072077,1.86957,0.0
4.148368,2.037371,0.0
2.138499,1.499534,0.0
2.531466,2.150437,0.0
2.203665,1.316225,0.0
1.711145,1.529877,0.0
2.012818,1.559182,0.0
1.413193,2.046823,0.0
2.796882,1.679294,0.0
2.622048,2.074348,0.0
1.92015,2.143956,0.0
2.921002,3.119826,0.0
1.853579,1.370353,0.0
1.918715,2.285395,0.0
2.847976,1.137141,0.0
2.293822,1.984748,0.0
2.153409,2.213859,0.0
2.197888,1.928305,0.0
2.959077,1.10564,0.0
2.327021,1.490449,0.0
2.670868,1.037341,0.0
2.677613,2.090053,0.0
1.941346,2.088381,0.0
1.812989,0.973094,0.0
2.16738,2.774121,0.0
2.255451,1.17809,0.0
1.39202,1.352559,0.0
1.991758,2.109962,0.0
1.775208,2.411135,0.0
1.162059,1.902478,0.0
1.295366,1.487167,0.0
1.580908,2.243286,0.0
1.497993,1.424073,0.0
1.42631,1.689455,0.0
1.078454,2.316929,0.0
0.118131,1.351892,0.0
0.787185,2.012457,0.0
1.103265,1.301171,0.0
2.529208,1.583667,0.0
1.520316,1.952542,0.0
3.504057,2.260151,0.0
2.568094,1.333843,0.0
2.350105,1.063648,0.0
1.936377,1.876054,0.0
1.941683,1.250021,0.0
2.288952,0.814623,0.0
1.787296,1.187079,0.0
2.424193,0.927874,0.0
2.812067,1.058614,0.0
2.20868,1.365894,0.0
3.012068,0.929664,0.0
2.96872,0.977958,0.0
2.500702,1.362727,0.0
2.995237,1.389318,0.0
3.464446,1.449204,0.0
2.780553,2.521387,0.0
2.629002,2.620919,0.0
3.679821,3.69929,0.0
2.776967,3.699404,0.0
3.923855,3.498989,0.0
2.97634,3.304435,0.0
4.192053,4.140775,0.0
3.543827,3.110758,0.0
2.901278,3.390076,0.0
2.760845,2.954786,0.0
3.750658,4.451194,0.0
2.671592,3.461631,0.0
2.007131,3.647239,0.0
2.347957,3.593447,0.0
2.149502,3.179086,0.0
2.922707,2.067265,0.0
1.908327,3.239008,0.0
2.977804,4.242051,0.0
2.063083,3.40381,0.0
2.847324,5.17026,0.0
2.486583,3.606289,0.0
3.199295,2.596502,0.0
3.043556,3.551922,0.0
3.070031,3.009258,0.0
2.676228,3.962097,0.0
3.661079,3.501322,0.0
1.411986,3.012673,0.0
2.700794,3.257304,0.0
3.466911,4.103112,0.0
3.808488,4.252834,0.0
2.218652,4.069894,0.0
3.536216,4.997808,0.0
2.912309,3.643372,0.0
3.169664,4.16896,0.0
3.83359,3.895995,0.0
3.274053,4.856066,0.0
3.414948,4.419573,0.0
4.455581,2.618089,0.0
4.124374,1.959176,0.0
3.022059,3.046045,0.0
2.698171,4.191131,0.0
3.027892,3.550054,0.0
3.897037,4.03728,0.0
3.471852,4.710004,0.0
4.275044,4.212053,0.0
3.560633,4.00169,0.0
3.965885,3.599911,0.0
3.723206,3.000716,0.0
3.973578,4.46781,0.0
4.510347,6.225414,0.0
2.662091,4.79517,0.0
2.256104,3.749809,0.0
2.684231,4.281953,0.0
3.23997,3.569043,0.0
3.605957,3.047776,0.0
3.597864,3.909619,0.0
4.008926,4.483014,0.0
3.78143,3.027239,0.0
3.395578,4.833739,0.0
3.046088,4.598544,0.0
3.429356,4.75761,0.0
3.425847,3.935731,0.0
3.93133,4.420837,0.0
3.816439,2.963394,0.0
3.39923,3.769993,0.0
4.048854,1.507255,0.0
3.748281,0.852676,0.0
3.379642,1.192328,0.0
4.179212,1.37879,0.0
5.797032,2.529982,0.0
5.111605,0.319819,0.0
4.318591,1.038847,0.0
4.056879,0.279647,0.0
2.51766,0.849888,0.0
3.06106,0.016543,0.0
3.903496,1.493089,0.0
4.024832,0.465341,0.0
3.725432,1.45372,0.0
3.555135,2.111169,0.0
3.777335,0.801532,0.0
3.070721,0.661704,0.0
4.43423,1.493199,0.0
4.55515,1.156254,0.0
3.027703,0.862308,0.0
4.528126,1.332574,0.0
3.278499,1.342088,0.0
3.554833,0.863805,0.0
3.426926,1.114236,0.0
